,ProductKey,Name,NumberCatalog,Gender,Brand,Price,Color,Details,Sole,Upper,Type,GlobalRank,Reviews,RankSize,RankComfort,RankQuality
153,1480147,Converse Chuck Taylor All Star Ox black trainers,110,Women,converse,230.92,black,8,Other,Textile Other,trainers,5,127,173.339,266.427,285.688
154,1769107,Converse Wide Fit Chuck Taylor All Star Ox black trainers,110,Women,converse,215.17,black,9,Other,Textile Other,trainers,5,29,202.229,279.266,295.318
155,115184701,Converse Chuck Taylor All Star Ox trainers,110,Women,converse,290.0,black,7,Other,Textile Other,trainers,5,4,160.5,321.0,321.0
156,115184699,Converse Chuck Taylor All Star Ox trainers,110,Women,converse,290.0,black,7,Rubber Other,Other,trainers,5,12,173.339,227.906,304.948
157,117674186,Converse Chuck Taylor All Star Ox unisex white trainers,110,Women,converse,230.92,white,8,Rubber Other,Other,trainers,5,35,176.547,253.589,285.688
158,115184702,Converse Chuck 70 Ox trainers,113,Women,converse,314.89,black,9,Rubber Other,Textile Other,trainers,4,7,147.656,205.438,285.688
159,1266381,Converse Chuck '70 Ox Trainers In Cream,113,Women,converse,390.0,cream,8,Other,Textile Other,trainers,4,18,195.807,250.375,276.057
160,110658476,Converse Chuck '70 Ox,113,Women,converse,370.0,cream,9,Rubber Other,Textile Other,trainers,5,4,186.177,295.318,321.0
161,110028878,Converse Run Star Motion Ox platform,118,Women,converse,500.0,black,9,Rubber Other,Other,shoe,5,4,160.5,282.479,282.479
162,110658471,Converse Run Star Motion Hi trainers,118,Women,converse,440.84,black,9,Other,Textile Other,trainers,5,49,176.547,295.318,311.37
163,110658472,Converse Run Star Motion Hi trainers,118,Women,converse,419.85,white,10,Other,Textile Other,trainers,5,5,208.646,304.948,304.948
164,114993474,Converse Pride Run Star Motion Hi platform trainers,118,Women,converse,580.0,white,8,Rubber Other,Other,shoe,5,7,195.807,298.526,308.156
165,114993491,Converse Run Star Motion Hi platform trainers,118,Women,converse,555.0,orange,7,Rubber Other,Other,shoe,5,4,179.755,321.0,301.74
166,115876446,adidas Originals ZX 22 Boost trainers,121,Women,adidas,254.27,mblue,10,Rubber Other,Textile Other,trainers,5,18,150.87,240.75,321.0
167,115876447,adidas Originals ZX 22 Boost trainers,121,Women,adidas,500.0,white,10,Rubber Other,Textile Other,trainers,5,23,138.026,240.75,282.479
168,122699965,adidas Originals Gazelle trainers,124,Women,adidas,395.0,black,6,Other,Other,shoe,5,12,160.5,0.0,0.0
169,122754033,Puma retaliate 2 trainers,125,Women,puma,305.0,pink,9,Rubber Other,Textile Other,shoe,5,4,260.005,260.005,260.005
170,119388532,adidas Originals Nizza Trek boots,126,Women,adidas,395.0,grey,7,Rubber Other,Textile Other,trainers,5,148,166.917,0.0,0.0
171,116089575,adidas Originals Ozrah trainers,129,Women,adidas,321.18,white,8,Rubber Other,Textile Other,trainers,5,31,157.286,0.0,0.0
172,117366990,adidas Originals Retropy F90 trainers,130,Women,adidas,395.0,pastel blue,7,Rubber Other,Textile Other,trainers,5,19,147.656,279.266,282.479
173,113433765,Puma Cali Dream chunky trainers,131,Women,puma,314.89,white,8,Rubber Other,LeatherOther,trainers,5,67,160.5,266.427,292.109
174,2005736,Puma Cali Sport trainers,131,Women,puma,265.03,white-orange,8,Rubber Other,Other,trainers,5,12,121.979,234.328,269.635
175,110693796,Puma Cali Dream chunky trainers,131,Women,puma,420.0,white,8,Other,Other,trainers,5,58,160.5,260.005,269.635
176,113433786,Puma Cali Dream chunky trainers,131,Women,puma,445.0,white,8,Other,Other,trainers,4,43,144.448,231.12,266.427
177,115438206,Puma Cali Dream trainers,131,Women,puma,445.0,black,7,Rubber Other,LeatherOther,trainers,5,14,189.385,298.526,276.057
178,115438207,Puma Cali Dream trainers,131,Women,puma,445.0,white/black,7,Rubber Other,LeatherOther,trainers,5,15,154.078,276.057,276.057
179,116387933,Puma Cali Dream trainers,131,Women,puma,420.0,white,8,Other,Other,trainers,4,15,96.2969,205.438,256.797
180,117633472,Puma Cali Dream trainers,131,Women,puma,445.0,off white/blue,8,Rubber Other,Textile Other,trainers,4,31,115.557,221.49,240.75
181,117633477,Puma Cali Dream trainers,131,Women,puma,330.63,white/pink,7,Rubber Other,LeatherOther,trainers,4,17,138.026,295.318,282.479
182,117633482,Puma Cali Dream trainers,131,Women,puma,354.25,white/brown,7,Rubber Other,LeatherOther,trainers,5,27,150.87,269.635,288.896
183,117633493,Puma Cali Dream trainers,131,Women,puma,445.0,white/grey,7,Rubber Other,Textile Other,trainers,3,28,134.818,227.906,234.328
184,117633483,Puma Cali Dream trainers,131,Women,puma,445.0,white/beige,7,Other,Other,trainers,5,32,154.078,266.427,272.849
185,120718379,Puma Cali Dream trainers,131,Women,puma,375.24,white/blue,6,Rubber Other,Textile Other,shoe,5,14,96.2969,234.328,292.109
186,120718396,Puma Cali Dream towelling trainers,131,Women,puma,375.24,white/pink,8,Rubber Other,Textile Other,shoe,5,4,121.979,260.005,282.479
187,120718385,Puma Cali Dream trainers,131,Women,puma,354.25,white/acid pink,8,Rubber Other,Other,shoe,4,6,134.818,240.75,240.75
188,120718384,Puma Cali Dream trainers,131,Women,puma,500.0,white/green,8,Rubber Other,Textile Other,shoe,4,17,99.5052,202.229,243.958
189,120718378,Puma Cali Dream trainers,131,Women,puma,354.25,white/acid green,8,Rubber Other,Other,shoe,5,9,141.24,260.005,301.74
